pr,propierty,class
643,42.12,2
644,67.84,2
645,63.97,2
646,95.59,2
647,51.81,2
648,95.84,2
649,98.49,2
650,22.28,2
651,99.03,2
652,98.08,2
653,97.3,2
654,99.35,2
655,86.1,2
656,99.38,2
657,96.04,2
658,98.37,2
659,99.87,2
660,99.36,2
661,96.58,2
662,97.07,2
663,98.62,2
664,98.21,2
665,76.66,2
666,74.44,2
667,62.47,2
668,48.36,2
669,96.04,2
670,71.15,2
671,99.21,2
672,54.12,2
673,86.57,2
674,91.87,2
675,78.65,2
676,36.84,2
677,32.61,2
678,70.38,2
679,77.32,2
680,58.89,2
681,84.77,2
682,64.69,2
683,98.31,2
684,94.72,2
685,85.41,2
686,69.77,2
687,98.4,2
688,85.04,2
689,78.75,2
690,77.05,2
691,95.55,2
692,95.45,2
693,25.01,2
694,97.69,2
695,70.26,2
696,92.51,2
697,63.2,2
698,76.26,2
699,98.52,2
700,67.97,2
701,90.57,2
702,97.58,2
703,55.55,2
704,90.65,2
705,92.84,2
706,69.36,2
707,82.27,2
708,98.42,2
709,63.44,2
710,89.87,2
711,87.91,2
712,83.07,2
713,60.23,2
714,99.2,2
715,53.44,2
716,71.37,2
717,87.68,2
718,22.65,2
719,27.58,2
720,18.23,2
721,17.04,2
722,22.15,2
723,39.56,2
724,23.54,2
725,28.1,2
726,55.15,2
727,45.02,2
728,28,2
729,68.61,2
730,53.48,2
731,9.05,2
732,60.66,2
733,32.68,2
734,6.76,2
735,43.8,2
736,77.28,2
737,34.77,2
738,28.75,2
739,85.76,2
740,50.26,2
741,19.8,2
742,71.76,2
743,97.37,2
744,54.98,2
745,40.48,2
746,97.89,2
747,11.51,2
748,97.09,2
749,5.98,2
750,17.1,2
751,46.54,2
752,92.82,2
753,100,2
754,100,2
755,96.44,2
756,98.97,2
757,91.88,1
758,99.77,1
759,95.54,1
760,98.86,1
761,98.05,1
762,97.47,1
763,94.65,1
764,80.72,1
765,98.85,1
766,96.44,1
767,95.22,1
768,96.54,1
769,92.82,1
770,93.03,1
771,83.19,1
772,81.28,1
773,81.62,1
774,66.67,1
775,92.05,1
776,71.78,1
777,80.54,1
778,25,1
779,82.11,1
780,86.61,1
781,91.15,1
782,50,1
783,100,1
784,84.68,1
785,100,1
786,90.67,1
787,91.82,1
788,60.58,1
789,80.33,1
790,89.57,1
791,99.63,1
792,99.66,1
793,99.55,1
794,99.96,1
795,99.98,1
796,98.94,1
797,100,1
798,99.24,1
799,99.94,1
800,99.98,1
801,99.88,1
802,100,1
803,99.97,1
804,99.98,1
805,100,1
806,56.33,1
807,99.99,1
808,99.56,1
809,100,1
810,99.86,1
811,99.95,1
812,99.97,1
813,97.61,1
814,100,1
815,99.1,1
816,98.98,1
817,100,1
818,99.94,1
819,99.97,1
820,100,1
821,99.97,1
822,99.88,1
823,90.04,1
824,78.21,1
825,99,1
826,0.12,1
827,87.39,1
828,0.17,1
829,99.26,1
830,0.07,1
831,98.13,1
832,99.75,1
833,100,1
834,99.28,1
835,99.18,1
836,100,1
837,94.45,1
838,96.88,1
839,95.93,1
840,6.39,1
841,55.18,1
842,98.37,1
843,6.45,1
844,99.34,1
845,31.45,1
846,99.66,1
847,81.41,1
848,94.84,1
849,8.91,1
850,98.07,1
851,2.34,1
852,0.34,1
853,4.34,1
854,98.84,1
855,0.5,1
856,0,1
857,99.9,1
858,97.96,1
859,98.28,1
860,0.3,1
861,99.18,1
862,99.61,1
863,99.88,1
864,92.5,1
865,99.9,1
866,98.79,1
867,98.45,1
868,92.59,1
869,99.75,1
870,99.58,1
871,94.29,1
872,95.02,1
873,93.67,1
874,99.22,1
875,99.09,1
876,59.83,1
877,96.15,1
878,95.98,1
879,99.74,1
880,98.42,1
881,90.01,1
882,98.38,1
883,99.73,1
884,90.06,1
885,76.32,1
886,99.57,1
887,95.11,1
888,100,1
889,97.98,1
890,95.38,1
891,88.42,1
892,98.15,1
893,97.76,1
894,95.33,1
895,93.67,1
896,91.79,1
897,95.68,1
898,96.66,1
899,99.31,1
900,97.86,1
901,97.22,1
902,98.05,1
903,80.32,1
904,98.82,1
905,77.23,1
906,86.88,1
907,94.29,1
908,99.04,1
909,98.79,1
910,91.52,1
911,99.72,1
912,96.39,1
913,84.29,1
914,98.07,1
915,90.14,1
916,94.49,1
917,90.92,1
918,98.07,1
919,92.83,1
920,95.91,1
921,96.94,1
922,92.41,1
923,93.46,1
924,93,1
925,100,1
926,94.65,1
927,94.55,1
928,97.54,1
929,93.92,1
930,98.8,1
931,98.94,1
932,98.13,1
933,98.45,1
934,95.04,1
935,93.67,1
936,96.86,1
937,99.23,1
938,98.96,1
939,94.85,1
940,93.61,1
941,94.54,1
942,98.02,1
943,99,1
944,99.71,1
945,100,1
946,90.88,1
947,98.51,1
948,99.89,1
949,97.37,1
950,99.06,1
951,98.42,1
952,98.23,1
953,96.93,1
954,96.61,1
955,91.46,1
956,58.17,1
957,42.15,1
958,99.01,1
959,99.67,1
960,92.88,1
961,93.71,1
962,97.45,1
963,93.87,1
964,79.12,1
965,98.21,1
966,71.9,1
967,93.53,1
968,41.47,1
969,38.61,1
970,74.5,1
971,71.83,1
972,86.32,1
973,97.01,1
974,98.74,1
975,71.8,1
976,97.84,1
977,76.61,1
978,62.5,1
979,99.51,1
980,100,1
981,87.45,1
982,90.44,1
983,84.46,1
984,99.01,1
985,97.17,1
986,100,1
987,98.46,1
988,96.89,1
989,100,1
990,100,1
991,89.05,1
992,99.89,1
993,97.13,1
994,93.51,1
995,100,1
996,95.46,1
997,99.58,1
998,70.73,1
999,98.15,1
1000,93.94,1
1001,82.56,1
1002,95.97,1
1003,86.26,1
1004,95.26,1
1005,93.39,1
1006,91.43,1
1007,85.89,1
1008,98.01,1
1009,63.93,1
1010,68.32,1
1011,98.68,1
1012,89.42,1
1013,98.88,1
1014,98.27,1
1015,77.38,1
1016,96.36,1
1017,94.47,1
1018,97.63,1
1019,96.58,1
1020,96.03,1
1021,93.5,1
1022,99.83,1
1023,87.56,1
